nombre;categoria
1º DE MAYO;Medio-bajo
2 DE SEPTIEMBRE;Bajo
20 DE JUNIO;Bajo
23 DE ABRIL;Bajo
25 DE MAYO;Bajo
4 DE FEBRERO;Alto
ACHAVAL PENA;Alto
ACOSTA;Medio-bajo
AERONAUTICO;Medio
AEROPUERTO;Bajo
AIRES DEL SUR;Alto
ALBERDI;Medio-alto
ALBORADA (N);Alto
ALBORADA (S);Alto
ALEJANDRO CENTENO;Medio
ALMIRANTE BROWN;Medio
ALTA CORDOBA;Medio
ALTAMIRA;Medio
ALTO ALBERDI;Medio
ALTO DE DON BOSCO;Alto
ALTOS DE SANTA ANA;Medio-bajo
ALTO HERMOSO;Alto
ALTO PALERMO;Alto
ALTO VERDE;Alto
ALTOS DE VELEZ SARSFIELD;Medio
ALTOS DE VILLA CABRERA;Alto
ALTOS SAN MARTIN;Medio
ALTOS SUD DE SAN VICENTE;Alto
AMEGHINO NORTE;Medio
AMEGHINO SUD;Alto
AMPLIACION ALTAMIRA;Medio-bajo
AMPLIACION BENJAMIN MATIENZO;Medio
AMPLIACION FARINA;Alto
AMPLIACION EMPALME;Medio-bajo
AMPLIACION GENERAL ARTIGAS;Medio
AMPLIACION JARDIN ESPINOSA;Alto
AMPLIACION JOSE IGNACIO DIAZ SECCION 2;Medio-bajo
AMPLIACION JOSE IGNACIO DIAZ SECCION 3;Medio-bajo
AMPLIACION KENNEDY;Medio
AMPLIACION LAS PALMAS;Medio
AMPLIACION LOS ALAMOS;Medio-bajo
AMPLIACION LOS PLATANOS;Alto
AMPLIACION PALMAR;Medio
AMPLIACION PANAMERICANO;Medio-bajo
AMPLIACION PARQUE SAN CARLOS;Alto
AMPLIACION POETA LUGONES;Alto
AMPLIACION PRIMERO DE MAYO;Medio-bajo
AMPLIACION PUEYRREDON;Medio-bajo
AMPLIACION RESIDENCIAL AMERICA;Medio
AMPLIACION ROSEDAL;Medio
AMPLIACION SAN FERNANDO;Medio-bajo
AMPLIACION SAN PABLO;Medio-alto
AMPLIACION URCA;Alto
AMPLIACION VELEZ SARSFIELD;Alto
ANA MARIA ZUMARAN;Medio-alto
ANEXO LOS ALAMOS;Medio-bajo
APEADERO LA TABLADA;Alto
ARGUELLO;Medio-alto
ARGUELLO II;Bajo
ARGUELLO NORTE;Bajo
ARTURO CAPDEVILA;Medio
ATE;Alto
AVENIDA;Medio
AYACUCHO;Alto
BAJADA DE PIEDRA;Bajo
BAJADA SAN ROQUE;Medio-bajo
BAJO GALAN;Medio-bajo
BAJO GENERAL PAZ;Alto
BARRANCAS DEL SUR;Alto
BELLA VISTA;Medio
BELLA VISTA OESTE;Medio
BETANIA;Bajo
BH_CAMINO A 60 CUADRAS;Bajo
BIALET MASSE;Medio-alto
BOEDO;Bajo
BRIGADIER SAN MARTIN;Medio
CABAÑA DEL PILAR;Alto
CABO FARINA;Medio-bajo
CACERES;Medio-bajo
CALIFORNIA;Alto
CAMINO A SAN CARLOS;Bajo
CAMINO A VILLA POSE;Alto
CARBO;Medio-bajo
CAROLA LORENZINI;Medio-bajo
CARRARA;Bajo
CASEROS;Alto
CENTRO;Alto
CENTRO AMERICA;Medio
CERRO CHICO;Alto
CERRO DE LAS ROSAS;Alto
CERRO NORTE;Medio
CERVECEROS;Medio-alto
CHATEAU CARRERAS;Medio
CIUDAD AMPLIACION CABILDO;Bajo
CIUDAD DE JUAN PABLO II;Bajo
CIUDAD DE LOS CUARTETOS;Bajo
CIUDAD DE MIS SUEÑOS;Bajo
CIUDAD EVITA;Bajo
CIUDAD MI ESPERANZA;Bajo
CIUDAD OBISPO ANGELELLI;Bajo
CIUDAD PARQUE LAS ROSAS;Bajo
CIUDAD VILLA RETIRO;Bajo
CIUDADELA;Medio-bajo
CLAROS DEL BOSQUE;Alto
COFICO;Alto
COLINAS DE BELLA VISTA;Bajo
COLINAS DE VELEZ SARSFIELD;Medio-alto
COLINAS DEL CERRO;Medio
COLON;Medio
COLONIA LOLA;Medio-bajo
COMANDANTE ESPORA;Medio
COMERCIAL;Medio-bajo
CONGRESO;Medio-alto
CONSORCIO 16 DE NOVIEMBRE;Medio-bajo
CONSORCIO ESPERANZA;Bajo
COOPERATIVA 16 DE NOVIEMBRE;Bajo
COOPERATIVA EL FUTURO;Bajo
COOPERATIVA LA HERMOSA;Bajo
COOPERATIVA LA UNIDAD;Medio
CORDOBA IV;Alto
CORDOBA V;Alto
CORRAL DE PALOS;Medio-bajo
COSTA VERDE;Alto
COUNTRY ALTOS DEL CHATEAU;Alto
COUNTRY BARRANCAS;Alto
COUNTRY CLUB;Alto
COUNTRY FORTIN DEL POZO;Alto
COUNTRY JOCKEY CLUB;Alto
LA RESERVA;Alto
COUNTRY LA SANTINA - COUNTRY CAMPIÐA DEL SUR;Alto
COUNTRY LAS DELICIAS;Alto
LOS SOLES;Alto
LOS SUEÑOS;Alto
LOS ARBOLES;Alto
