"","cableada","ninguna","solo datos","datos y wifi compartido","solo wifi compartido"
"Cable modem",109,0,0,0,0
"Cable modem, Fibra optica (banda ancha)",1,0,0,0,0
"Conexión por red punto a punto ( a través del teléfono fijo)",19,0,0,0,0
"Fibra optica (banda ancha)",118,0,0,0,0
"No tiene conexión",0,53,0,0,0
"Teléfono celular con datos",0,0,89,0,0
"Teléfono celular con datos, Cable modem",147,0,0,0,0
"Teléfono celular con datos, Cable modem, Fibra optica (banda ancha)",1,0,0,0,0
"Teléfono celular con datos, Cable modem, Fibra optica (banda ancha), Conexión por red punto a punto ( a través del teléfono fijo)",1,0,0,0,0
"Teléfono celular con datos, Conexión por red punto a punto ( a través del teléfono fijo)",8,0,0,0,0
"Teléfono celular con datos, Fibra optica (banda ancha)",56,0,0,0,0
"Teléfono celular con datos, No tiene conexión",0,0,4,0,0
"Teléfono celular con datos, Wi fi compartido con vecinos",0,0,0,7,0
"Wi fi compartido con vecinos",0,0,0,0,2
