	nse	cobertura_salud	alcance_cobertura_salud	fuente_ingresos	prestaciones_estatales	origen_ingreso_principal	solicitud_ayuda_pandemia	atencion_salud_dificultades_pre_pandemia	atencion_salud_dificultades_pre_pandemia_detalle	covid_positivo_dificultades	atencion_salud_acceso_informacion_origen	informacion_medidas_educativas_origen
1	Bajo	No tiene cobertura	NA	Trabajo	Ninguna de las anteriores	Eventual (por changas)	Ninguno	Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	NA	Acceder a información sobre síntomas/cuidados/prevención frente al COVID19	A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de familiares/amigos/vecinos
2	Bajo	Obra social por trabajo o sindicato, No tiene cobertura	Atención médica básica	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Vivir lejos de los centros de atención médica, Dificultades para entender el diagnóstico realizado por los médicos	NA	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
3	Bajo	No tiene cobertura	NA	Trabajo, Programa estatal, Ayuda social o familiar	Asignación Universal por Hijo	Eventual (por changas)	Ayuda de familiares o amigos	Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas
4	Bajo	PAMI, No tiene cobertura	Atención médica básica, Estudios complementarios y análisis	Trabajo, Jubilación / Pensión, Programa estatal, Ayuda social o familiar	Ninguna de las anteriores	Eventual (por changas)	Ninguno	Sentirse discriminado a la hora de solicitar atención, Dificultades económicas para afrontar los gastos en salud.	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas, Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad, Otras	NA	A través de medios masivos (televisión/radio/diarios), A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
5	Medio alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Dificultades para que los médicos /as entiendan sus dolencias, Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas	NA	A través de redes sociales	A través de medios masivos (televisión/radio/diarios), A través de redes sociales
6	Medio alto	PAMI	Ns / Nc	Trabajo, Jubilación / Pensión	Asignación Universal por Hijo	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
7	Bajo	Obra social por trabajo o sindicato, No tiene cobertura	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Programa estatal	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	Dificultades para acceder a turnos médicos por escasez de atención	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos	A través de los docentes o directivos de las instituciones educativas
8	Medio alto	No tiene cobertura	NA	Trabajo, Programa estatal	Ninguna de las anteriores	Trabajo formal	Grupo de mujeres / Organización feminista, Agrupación o partido político	Sentirse discriminado a la hora de solicitar atención, Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud., Dificultades para que los médicos /as entiendan sus dolencias, Tiempo de espera excesivos para acceder a la consulta, Otras	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas, Posponer intervenciones quirúrgicas, Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad, Otras	NA	A través de medios masivos (televisión/radio/diarios)	A través de redes sociales
9	Medio Bajo	No tiene cobertura	NA	Trabajo, Programa estatal	Ninguna de las anteriores	Trabajo informal (en negro)	Ninguno	No conocer dónde recurrir cuando necesita atención médica, Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos	NA
10	Alto	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo informal (en negro), Jubilación / pensión	Ninguno	Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	NA
11	Medio Bajo	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Ns / Nc	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Vivir lejos de los centros de atención médica	Dificultades para acceder a turnos médicos por escasez de atención	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	NA
