"","Var1","Freq"
"1","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención",40
"2","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.2 Dificultades para solicitar turnos de manera virtual por falta de conectividad",3
"3","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.2 Dificultades para solicitar turnos de manera virtual por falta de conectividad, 12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas",9
"4","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.2 Dificultades para solicitar turnos de manera virtual por falta de conectividad, 12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas",10
"5","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.2 Dificultades para solicitar turnos de manera virtual por falta de conectividad, 12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas, 12.3.5 Posponer intervenciones quirúrgicas, 12.3.6 Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad",4
"6","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.2 Dificultades para solicitar turnos de manera virtual por falta de conectividad, 12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas, 12.3.5 Posponer intervenciones quirúrgicas, 12.3.6 Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad, 12.3.7 Otras",1
"7","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.2 Dificultades para solicitar turnos de manera virtual por falta de conectividad, 12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas, 12.3.6 Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad",4
"8","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.2 Dificultades para solicitar turnos de manera virtual por falta de conectividad, 12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, 12.3.5 Posponer intervenciones quirúrgicas",1
"9","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.2 Dificultades para solicitar turnos de manera virtual por falta de conectividad, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas",2
"10","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.2 Dificultades para solicitar turnos de manera virtual por falta de conectividad, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas, 12.3.5 Posponer intervenciones quirúrgicas",1
