"","Var1","Freq"
"1","Cobro de alquileres o renta",2
"2","Cobro de alquileres o renta, Plan o programa estatal",1
"3","Empresa o negocio propio",32
"4","Empresa o negocio propio, Plan o programa estatal",1
"5","Eventual (por changas)",43
"6","Eventual (por changas), Jubilación / pensión",2
"7","Jubilación / pensión",164
"8","Jubilación / pensión, Empresa o negocio propio",4
"9","Jubilación / pensión, Plan o programa estatal",1
"10","Plan o programa estatal",4
"11","Trabajo formal",274
"12","Trabajo formal, Empresa o negocio propio",4
"13","Trabajo formal, Eventual (por changas)",1
"14","Trabajo formal, Jubilación / pensión",12
"15","Trabajo formal, Jubilación / pensión, Cobro de alquileres o renta",1
"16","Trabajo formal, Plan o programa estatal",1
"17","Trabajo formal, Trabajo informal (en negro)",5
"18","Trabajo informal (en negro)",44
"19","Trabajo informal (en negro), Eventual (por changas)",9
"20","Trabajo informal (en negro), Jubilación / pensión",5
