,Alto,Medio alto,Medio,Medio Bajo,Bajo
zona alta / sin menores / ingresos bajos,21,0,0,0,0
zona alta / sin menores / ingresos medios,43,0,0,0,0
zona alta / sin menores / ingresos altos,8,0,0,0,0
zona alta / con menores / ingresos bajos,6,0,0,0,0
zona alta / con menores / ingresos medios,30,0,0,0,0
zona alta / con menores / ingresos altos,2,0,0,0,0
zona media / sin menores / ingresos bajos,0,36,28,0,0
zona media / sin menores / ingresos medios,0,33,49,0,0
zona media / sin menores / ingresos altos,0,3,4,0,0
zona media / con menores / ingresos bajos,0,12,14,0,0
zona media / con menores / ingresos medios,0,22,26,0,0
zona media / con menores / ingresos altos,0,1,0,0,0
zona baja / sin menores / ingresos bajos,0,0,0,51,51
zona baja / sin menores / ingresos medios,0,0,0,12,4
zona baja / con menores / ingresos bajos,0,0,0,42,74
zona baja / con menores / ingresos medios,0,0,0,16,4
